токен	TF	IDF	TF-IDF
кубете	0.000553	3.218876	0.001780
кубинская	0.000277	0.116534	0.000032
кулеш	0.000277	0.040822	0.000011
кулинарии	0.000830	0.094311	0.000078
кулинарная	0.000277	0.116534	0.000032
кулинарное	0.000277	0.116534	0.000032
кулинарную	0.000553	0.040822	0.000023
кулинарный	0.000277	0.072571	0.000020
кулинарных	0.000277	0.116534	0.000032
кулич	0.000277	0.040822	0.000011
куличи	0.000277	0.116534	0.000032
кунжут	0.000553	0.994252	0.000550
курдская	0.000277	0.116534	0.000032
куриного	0.000277	0.116534	0.000032
куриное	0.005808	0.127833	0.000742
куриный	0.000277	0.105361	0.000029
курица	0.000277	0.040822	0.000011
курицы	0.000830	0.116534	0.000097
курочкой	0.000277	0.116534	0.000032
кускус	0.000277	0.040822	0.000011
кусочек	0.000277	2.525729	0.000698
кусочком	0.000277	2.995732	0.000828
кухней	0.000277	0.040822	0.000011
кухни	0.001106	0.040822	0.000045
кухня	0.000830	0.116534	0.000097
лаваш	0.000553	0.040822	0.000023
лаваша	0.001106	0.116534	0.000129
лагман	0.000277	0.040822	0.000011
лакомство	0.000277	0.116534	0.000032
лапша	0.000553	0.040822	0.000023
латышская	0.000277	0.116534	0.000032
легенде	0.000277	2.207275	0.000610
легкая	0.000277	0.116534	0.000032
легкий	0.000553	0.116534	0.000064
легко	0.001936	0.116534	0.000226
ленивая	0.000277	2.813411	0.000778
лепешки	0.000553	0.040822	0.000023
лет	0.000553	0.843970	0.000467
лета	0.000277	0.116534	0.000032
летние	0.000277	0.040822	0.000011
летняя	0.000277	0.116534	0.000032
лето	0.001383	0.116534	0.000161
лечо	0.000277	0.040822	0.000011
лига	0.000830	0.116534	0.000097
ликер	0.000277	0.040822	0.000011
лимонад	0.000553	0.040822	0.000023
лимонный	0.000553	0.798508	0.000442
литовск	0.000277	0.127833	0.000035
литовская	0.000277	0.116534	0.000032
лопнуло	0.000277	2.407946	0.000666
лук	0.001106	0.301105	0.000333
лучшие	0.000277	0.116534	0.000032
лучший	0.000553	0.040822	0.000023
лучших	0.000277	0.116534	0.000032
любви	0.000277	0.105361	0.000029
любим	0.000277	2.995732	0.000828
любимого	0.000277	0.127833	0.000035
любимому	0.000277	0.116534	0.000032
любимых	0.001659	0.116534	0.000193
любовь	0.000277	0.116534	0.000032
любой	0.000830	0.116534	0.000097
любую	0.000277	3.912023	0.001082
люди	0.000277	2.207275	0.000610
лёд	0.000277	0.127833	0.000035
магриба	0.000277	0.116534	0.000032
май	0.000277	0.116534	0.000032
майонез	0.001936	0.116534	0.000226
макаронные	0.000277	0.116534	0.000032
макароны	0.000277	0.040822	0.000011
малазийская	0.000277	0.116534	0.000032
малиной	0.000277	4.605170	0.001274
манник	0.000277	0.040822	0.000011
манты	0.000277	0.116534	0.000032
манёвры	0.000277	0.116534	0.000032
марафон	0.000830	0.116534	0.000097
маргарин	0.001659	1.609438	0.002671
маринад	0.002489	0.040822	0.000102
маринады	0.000830	0.116534	0.000097
маринованные	0.000277	0.116534	0.000032
мармелад	0.000277	0.040822	0.000011
марокканская	0.000277	0.116534	0.000032
марта	0.001659	0.105361	0.000175
маскарпоне	0.000277	0.040822	0.000011
масла	0.000277	1.237874	0.000342
масленица	0.000830	0.040822	0.000034
масленичное	0.000277	0.116534	0.000032
масло	0.006637	0.116534	0.000773
маслом	0.000277	0.116534	0.000032
мастер	0.002489	0.116534	0.000290
мастика	0.000277	0.040822	0.000011
мастики	0.000277	0.116534	0.000032
маффины	0.000277	0.116534	0.000032
махеевъ	0.001106	0.116534	0.000129
мая	0.000277	0.634878	0.000176
медиафорт	0.000830	0.000000	0.000000
медовый	0.000277	0.116534	0.000032
мексиканская	0.000277	0.116534	0.000032
меню	0.000277	0.116534	0.000032
меня	0.001383	0.083382	0.000115
меняется	0.000277	0.116534	0.000032
мечта	0.000277	0.116534	0.000032
мечты	0.000553	0.040822	0.000023
мидии	0.000277	0.040822	0.000011
микроволновке	0.000277	0.116534	0.000032
милашино	0.000277	4.605170	0.001274
милости	0.000277	1.897120	0.000525
милье	0.000277	0.116534	0.000032
миндаль	0.000553	2.040221	0.001128
минут	0.000277	0.755023	0.000209
мио	0.000277	0.116534	0.000032
мир	0.000277	0.116534	0.000032
мира	0.000277	0.116534	0.000032
мировая	0.000277	0.116534	0.000032
мисо	0.000277	0.040822	0.000011
мистерия	0.000277	0.116534	0.000032
мистраль	0.001936	0.116534	0.000226
мммммммм	0.000277	2.659260	0.000735
мнение	0.000277	2.995732	0.000828
многострадального	0.000277	2.407946	0.000666
многочисленным	0.000277	2.302585	0.000637
множество	0.000277	1.560648	0.000432
множеством	0.000277	0.040822	0.000011
могу	0.000553	0.798508	0.000442
мое	0.000277	0.116534	0.000032
моему	0.000277	1.897120	0.000525
можете	0.000277	0.000000	0.000000
мои	0.000553	1.078810	0.000597
моим	0.000277	2.302585	0.000637
мой	0.000553	0.105361	0.000058
молдавская	0.000277	0.116534	0.000032
молниеносно	0.000277	2.407946	0.000666
молниеносной	0.000277	4.605170	0.001274
молока	0.000277	1.714798	0.000474
молоке	0.000277	0.105361	0.000029
молоко	0.001936	0.116534	0.000226
молочный	0.000553	0.040822	0.000023
молочных	0.000277	0.116534	0.000032
момент	0.000830	0.116534	0.000097
монгольская	0.000277	0.116534	0.000032
море	0.000277	0.116534	0.000032
морепродуктов	0.003042	0.040822	0.000124
морепродукты	0.000553	0.116534	0.000064
морковь	0.000830	0.040822	0.000034
мороженая	0.000277	4.605170	0.001274
мороженое	0.000830	0.040822	0.000034
морс	0.000277	0.040822	0.000011
морсы	0.000277	0.116534	0.000032
мотор	0.000277	0.116534	0.000032
мохито	0.000277	0.040822	0.000011
мужская	0.000277	0.127833	0.000035
мужчины	0.000553	0.116534	0.000064
мука	0.008573	0.274437	0.002353
мультиварке	0.010509	0.116534	0.001225
мультипекарей	0.000830	0.116534	0.000097
мусс	0.000277	0.040822	0.000011
муссы	0.000553	0.116534	0.000064
мучные	0.000277	0.116534	0.000032
мюсли	0.000553	0.116534	0.000064
мяса	0.002212	0.116534	0.000258
мясного	0.000553	0.116534	0.000064
мясной	0.000277	0.116534	0.000032
мясные	0.001383	0.040822	0.000056
мясных	0.000830	0.116534	0.000097
мясо	0.002765	0.040822	0.000113
мясом	0.001936	0.040822	0.000079
мясу	0.000553	0.116534	0.000064
набор	0.000277	1.897120	0.000525
назад	0.000277	0.967584	0.000268
назначения	0.000277	0.116534	0.000032
наконец	0.000277	1.609438	0.000445
наливка	0.000277	0.040822	0.000011
напечатал	0.000277	2.407946	0.000666
напитки	0.001659	0.040822	0.000068
напиток	0.000277	0.040822	0.000011
насколько	0.000277	1.427116	0.000395
настойка	0.000277	0.040822	0.000011
настроение	0.000277	0.116534	0.000032
насыщенный	0.000277	1.897120	0.000525
национальные	0.000277	0.116534	0.000032
